Title,Author,Genre,Rating_Average,Rating_Counts,Description,Page_Numbers,ISBN,Language,Published_Year,Cover_URL,Book_Link
The Endless Steppe,Esther Rudomin Hautzig,"Description and travel, Juvenile literature, Social life and customs",4.428571,7.0,The morning it happened-the end of my lovely world -I did not water the lilac bush outside my father's study.,243,1664500820,und,1968,https://covers.openlibrary.org/b/id/52034-L.jpg,https://openlibrary.org/works/OL270319W
Forever Amber,Kathleen Winsor,"collectionID:Sbodice_ripper, collectionID:Sleazy_pulp, Mistresses",,,THE SMALL ROOM was warm and moist.,755,9782724283044,eng,1944,https://covers.openlibrary.org/b/id/12958803-L.jpg,https://openlibrary.org/works/OL100278W
The Miracle Worker,William Gibson,"Drama, Women teachers, Deafblind women",4.5,6.0,IT IS NIGHT OVER THE KELLER HOMESTEAD.,122,9789993573005,eng,1956,https://covers.openlibrary.org/b/id/12819763-L.jpg,https://openlibrary.org/works/OL261558W
Grace abounding to the chief of sinners,John Bunyan,"Biography, Grace (Theology), Christian biography",4.3333335,3.0,"IN THIS MY RELATION of the merciful working of God upon my soul, it will not be amiss, if, in the first place, I do in a few words give you a hint of my pedigree, and manner of bringing up; that thereby the goodness and bounty of God towards me, may be the more advanced and magnified before the sons of men.",150,9781557480583,eng,1666,https://covers.openlibrary.org/b/id/8241323-L.jpg,https://openlibrary.org/works/OL107194W
"""Surely You're Joking, Mr. Feynman""",Richard Phillips Feynman,"Anecdotes, Anecdotes, facetiae, satire, Art",4.205357,112.0,WHEN I WAS about eleven or twelve I set up a lab in my house.,352,9780553346688,eng,1984,https://covers.openlibrary.org/b/id/9274698-L.jpg,https://openlibrary.org/works/OL514629W
Einstein,Walter Isaacson,"physics, relativity, scientific advancement",4.1666665,24.0,No description available,704,0061893897,spa,2007,https://covers.openlibrary.org/b/id/474440-L.jpg,https://openlibrary.org/works/OL4288870W
The story of my life,Helen Keller,"Biography, Blind-deaf women, Deafblind people",4.3333335,6.0,No description available,343,970661074X,eng,1903,https://covers.openlibrary.org/b/id/7101652-L.jpg,https://openlibrary.org/works/OL53604W
American Indian Stories,Zitkála-Šá,"Biography, Government relations, Indians of North America",4.6666665,3.0,No description available,104,9781513137513,eng,1921,https://covers.openlibrary.org/b/id/574909-L.jpg,https://openlibrary.org/works/OL5478557W
Cider with Rosie,Laurie Lee,"Biography, English Authors, Childhood and youth",4.25,8.0,No description available,256,9780563557036,und,1959,https://covers.openlibrary.org/b/id/107817-L.jpg,https://openlibrary.org/works/OL1209517W
Troilus and Cressida,William Shakespeare,"Drama, Troilus (Legendary character), Cressida (Fictitious character)",3.0,4.0,"Eternal reader, you have here a new play, never staled with the stage, never clapperclawed with the palms of the vulgar, and yet passing full of the palm comical; for it is a birth of your brain that never undertook anything comical vainly.",197,9798718122985,eng,1609,https://covers.openlibrary.org/b/id/8789523-L.jpg,https://openlibrary.org/works/OL362685W
"Diana, Her True Story",Andrew Morton,"Biography, Prince, Princes",4.75,4.0,IT WAS A MEMORY indelibly engraved upon her soul.,288,1859270166,eng,1992,https://covers.openlibrary.org/b/id/409002-L.jpg,https://openlibrary.org/works/OL461064W
Hospital Sketches,Louisa May Alcott,"Biography, Career in nursing, Classic Literature",4.0,2.0,""" I WANT something to do.""",84,1673210368,eng,1863,https://covers.openlibrary.org/b/id/8029754-L.jpg,https://openlibrary.org/works/OL30060W
Madame Curie,"Curie, Eve","Readers, Biographies, Women chemists",3.8461537,13.0,DEEP SILENCE INVADED the school building in Novolipki Street on Sundays.,411,0306802813,eng,1937,https://covers.openlibrary.org/b/id/165073-L.jpg,https://openlibrary.org/works/OL1439437W
Endurance,Alfred Lansing,"British, Discovery and exploration, Endurance (Navire)",4.6153846,13.0,The order to abandon ship was given at 5 p.m.,282,9785557084611,eng,1959,https://covers.openlibrary.org/b/id/542833-L.jpg,https://openlibrary.org/works/OL874159W
Kommandant in Auschwitz,Rudolf Höss,"Auschwitz (Concentration camp), German Prisoners and prisons, Prisoners and prisons, German",5.0,2.0,In the summer of 1941.,277,9781980814047,ita,1956,https://covers.openlibrary.org/b/id/888955-L.jpg,https://openlibrary.org/works/OL2969387W
I am Malala,Malala Yousafzai,"Young women, Education, Biography",4.2580647,31.0,No description available,336,0316322415,heb,2012,https://covers.openlibrary.org/b/id/9358664-L.jpg,https://openlibrary.org/works/OL19669045W
Black like me,John Howard Griffin,"African Americans, Afro-American churches, Afro-Americans",4.6363635,11.0,"For years the idea had haunted me, and that night it returned more insistently than ever.",189,0451137353,mar,1960,https://covers.openlibrary.org/b/id/6383648-L.jpg,https://openlibrary.org/works/OL2810429W
20 Years at Hull House,Jane Addams,"Addams, jane, 1860-1935, Social settlements, Social service, history",,,"On the theory that our genuine impulses may be connected with our childish experiences, that one's bent may be tracked back to that ""No-Man's Land"" where character is formless but nevertheless settling into definite lines of future development, I begin this record with some impressions of my childhood.",320,9780451518439,eng,1910,https://covers.openlibrary.org/b/id/700557-L.jpg,https://openlibrary.org/works/OL1106688W
The Birds of America,John James Audubon,"American Watercolor painting, Birds in art, Classification",4.6666665,3.0,The results of a period of world exploration were consolidated in the late 17th and early 18th centuries when descriptions of newly discovered animals and plants were published in a series of great works.,435,0517201194,eng,1827,https://covers.openlibrary.org/b/id/8245338-L.jpg,https://openlibrary.org/works/OL74757W
Ungeduld des Herzens,Stefan Zweig,"Austro-Hungarian Monarchy, Austro-Hungarian Monarchy. Heer, Fiction",4.75,4.0,No description available,398,9788483061756,fre,1927,https://covers.openlibrary.org/b/id/595193-L.jpg,https://openlibrary.org/works/OL28434W
Gravity's Rainbow,Thomas Pynchon,"Fiction, Rockets (Ordnance), Americans",3.9545455,22.0,No description available,780,3498093320,fre,1973,https://covers.openlibrary.org/b/id/97894-L.jpg,https://openlibrary.org/works/OL2636675W
Joan Miró,Joan Miró,"Fundació Pilar i Joan Miró a Mallorca, Interviews, Painters",5.0,1.0,No description available,158,2855871158,eng,1937,https://covers.openlibrary.org/b/id/2241129-L.jpg,https://openlibrary.org/works/OL578528W
Il sistema periodico,Primo Levi,"Levi, primo, 1919-1987, Authors, biography, Romance italiano",4.25,4.0,There are the so-called inert gases in the air we breathe.,238,9782226115317,eng,1975,https://covers.openlibrary.org/b/id/3198953-L.jpg,https://openlibrary.org/works/OL860022W
Aus meinem Leben,Johann Wolfgang von Goethe,"Plants, German Poets, Effect of chemicals on",3.0,8.0,No description available,374,0283978120,lat,1800,https://covers.openlibrary.org/b/id/8237921-L.jpg,https://openlibrary.org/works/OL52470W
Mademoiselle Fifi,Guy de Maupassant,"Translations into English, Social life and customs, War in Fiction",4.5,2.0,"The Prussian Commander, Major Graf von Farlsberg, was finishing the reading of his mail, comfortably seated in a large tapestry armchair, with his booted feet resting on the elegant marble of the mantelpiece on which, for the last three months that he had been occupying the Chateau d'Uville, his spurs had traced two deep grooves, growing deeper every day.",252,9780828896115,eng,1882,https://covers.openlibrary.org/b/id/6468088-L.jpg,https://openlibrary.org/works/OL93833W
Erewhon,Samuel Butler,"Fiction, humorous, general, Fiction, Utopian fiction",2.5,4.0,No description available,241,1702127389,eng,1700,https://covers.openlibrary.org/b/id/825789-L.jpg,https://openlibrary.org/works/OL22364W
Ten days in a mad-house,Nellie Bly,"Mentally ill, Commitment and detention, New York (N.Y.). Lunatic Asylum, Blackwell's Island",5.0,2.0,No description available,98,143440501X,eng,1905,https://covers.openlibrary.org/b/id/12511185-L.jpg,https://openlibrary.org/works/OL16915826W
The Man Without a Country,Edward Everett Hale,"Fiction, Stateless persons in fiction, Burr Conspiracy, 1805-1807",2.0,1.0,No description available,80,1555764983,eng,1865,https://covers.openlibrary.org/b/id/8239495-L.jpg,https://openlibrary.org/works/OL2339752W
Go Ask Alice,Beatrice Sparks,"homelessness, bad trips, psychiatric hospitals",3.6530612,49.0,"Yesterday I remember thinking I was the happiest person in the whole earth, in the whole galaxy, in all of God's creation.",185,2724200772,eng,1971,https://covers.openlibrary.org/b/id/8749018-L.jpg,https://openlibrary.org/works/OL264729W
Surprised by Joy,C. S. Lewis,"Biography, Anglican converts, English Authors",3.4166667,12.0,"I WAS BORN in the winter of 1898 at Belfast, the son of a solicitor and of a clergyman's daughter.",238,9780006280835,eng,1955,https://covers.openlibrary.org/b/id/9184545-L.jpg,https://openlibrary.org/works/OL71159W
What is life? The physical aspect of the living cell,Erwin Schrödinger,"Life (Biology), Biological aspects, Biophysics",4.6666665,6.0,No description available,178,9788845911248,eng,1944,https://covers.openlibrary.org/b/id/11024786-L.jpg,https://openlibrary.org/works/OL1210514W
Journal,Henry David Thoreau,"Diaries, American Authors, Birds",2.8,5.0,No description available,234,9780691065373,eng,1906,https://covers.openlibrary.org/b/id/308595-L.jpg,https://openlibrary.org/works/OL55611W
Sexus,Henry Miller,"Biography, New york (n.y.), fiction, American fiction (fictional works by one author)",4.0,4.0,It must have been a Thursday night when I met her for the first time-at the dance hall.,506,0394623711,eng,1949,https://covers.openlibrary.org/b/id/13106915-L.jpg,https://openlibrary.org/works/OL261865W
Sanctuary,William Faulkner,"American Manuscripts, Crimes against, Facsimiles",2.0,1.0,No description available,312,0824068106,spa,1931,https://covers.openlibrary.org/b/id/13105623-L.jpg,https://openlibrary.org/works/OL82925W
The Seven Storey Mountain,Thomas Merton,"Biography, Merton, Thomas, 1915-1968, Trappists",4.0,8.0,"ON THE LAST DAY OF JANUARY 1915, UNDER THE SIGN OF the Water Bearer, in a year of great war, and down in the shadow of some French mountains on the borders of Spain, I came into the world.",435,9780859690591,eng,1948,https://covers.openlibrary.org/b/id/116508-L.jpg,https://openlibrary.org/works/OL461723W
Diarios de Motocicleta,Che Guevara,"Friends and associates, Description and travel, Diaries",3.3636363,11.0,No description available,173,9783462023831,ita,1993,https://covers.openlibrary.org/b/id/923234-L.jpg,https://openlibrary.org/works/OL63457W
"84, Charing Cross Road",Helene Hanff,"American Authors, Biography, Booksellers and bookselling",4.428571,14.0,No description available,120,0860074382,eng,1970,https://covers.openlibrary.org/b/id/95718-L.jpg,https://openlibrary.org/works/OL3738761W
The story of the other wise man,Henry van Dyke,"Fiction, Magi, Christmas stories",4.0,5.0,"In the days when Augustus Caesar was master of many kings and Herod reigned in Jerusalem, there lived in the city of Ecbatana, among the mountains of Persia, a certain man named Altaban, the Median.",74,9780554694122,eng,1895,https://covers.openlibrary.org/b/id/1379656-L.jpg,https://openlibrary.org/works/OL2254120W
Farewell to Manzanar,Jeanne Wakatsuki Houston,"Concentration camps, World War, 1939-1945, Open Library Staff Picks",4.1,10.0,On that first weekend in December there must have been twenty or twenty-five boats getting ready to leave.,176,1439551936,eng,1758,https://covers.openlibrary.org/b/id/6897134-L.jpg,https://openlibrary.org/works/OL6026098W
Three cups of tea,Greg Mortenson,"nyt:paperback_nonfiction=2007-01-28, History, Education",3.85,20.0,No description available,365,9789752751460,rus,2006,https://covers.openlibrary.org/b/id/6425044-L.jpg,https://openlibrary.org/works/OL5702375W
The  man who would be king,Rudyard Kipling,"Fiction, Kings and rulers, British",3.5,6.0,No description available,40,9781728603643,ita,1898,https://covers.openlibrary.org/b/id/6021425-L.jpg,https://openlibrary.org/works/OL20112W
Vita nuova,Dante Alighieri,"Italian literature, Translations into English, Translations into Ukrainian",4.0,3.0,"dress, on that day, was of a most noble colour, a subdued and goodly crimson, girdled and adorned in such sort as best suited with her very tender age.",145,8811361761,eng,1829,https://covers.openlibrary.org/b/id/8236950-L.jpg,https://openlibrary.org/works/OL93228W
Une mort tres douce,Simone de Beauvoir,"Biographies, Mort, Romans",3.0,1.0,No description available,155,8419017078,fre,1964,https://covers.openlibrary.org/b/id/967116-L.jpg,https://openlibrary.org/works/OL767918W
History of Alexander the Great,Jacob Abbott,"Juvenile literature, Generals, Biography",,,No description available,140,9781463795474,eng,1848,https://covers.openlibrary.org/b/id/6946256-L.jpg,https://openlibrary.org/works/OL4242154W
Louisa May Alcott,Louisa May Alcott,"19th century, American Authors, Authors, American",,,LOUISA MAY ALCOTT is universally recognized as the greatest and most popular story-teller for children in her generation.,404,9781375555418,eng,1889,https://covers.openlibrary.org/b/id/320718-L.jpg,https://openlibrary.org/works/OL29984W
Educated,Tara Westover,"Subculture, Home schooling, Family",4.5555553,18.0,No description available,388,9781473538641,tha,2018,https://covers.openlibrary.org/b/id/8314077-L.jpg,https://openlibrary.org/works/OL18139176W
A Beautiful Mind,Sylvia Nasar,"Schizophrenics, Schizofrenie, Mathématiciens",3.2727273,11.0,"AMONG JOHN NASH'S EARLIEST MEMORIES is one in which, as a child of about two or three, he is listening to his maternal grandmother play the piano in the front parlor of the old Tazewell Street house, high on a breezy hill overlooking the city of Bluefield, West Virginia.",480,0571197183,eng,1998,https://covers.openlibrary.org/b/id/480024-L.jpg,https://openlibrary.org/works/OL937456W
Eichmann in Jerusalem,Hannah Arendt,"History, Holocaust, Jewish (1939-1945), Jews",4.5555553,9.0,"""Beth Hamishpath""-the House of Justice: these words shouted by the court usher at the top of his voice make us jump to our feet as they announce the arrival of the three judges, who, bareheaded, in black robes, walk into the courtroom from a side entrance to take their seats on the highest tier of the raised platform.",312,5973901629,eng,1963,https://covers.openlibrary.org/b/id/97789-L.jpg,https://openlibrary.org/works/OL1386647W
A history of New York,Washington Irving,"Dutch Americans, Social life and customs, Literature",5.0,1.0,No description available,352,1517191572,eng,1800,https://covers.openlibrary.org/b/id/1991009-L.jpg,https://openlibrary.org/works/OL63871W
When Breath Becomes Air,Paul Kalanithi,"philosophy, Neurosurgeons, Cancer",4.121212,33.0,No description available,232,8804675950,dut,2016,https://covers.openlibrary.org/b/id/11463139-L.jpg,https://openlibrary.org/works/OL17356252W
Hitchcock,François Truffaut,"Motion pictue producers and directors, Biography, Interview",4.0,2.0,"FRANCOIS TRUFFAUT. Mr. Hitchcock, you were born in London on August 13, 1899.",311,9783453861411,eng,1966,https://covers.openlibrary.org/b/id/969951-L.jpg,https://openlibrary.org/works/OL3477651W
The Innocent Man,John Grisham,"Judicial error, Trials, litigation, Trials (Murder)",4.2727275,11.0,No description available,416,0440244684,eng,2006,https://covers.openlibrary.org/b/id/9322895-L.jpg,https://openlibrary.org/works/OL77015W
Brief an den Vater,Franz Kafka,"Correspondence, Austrian Authors, Biography",3.5,6.0,No description available,100,3257700474,eng,1953,https://covers.openlibrary.org/b/id/3177168-L.jpg,https://openlibrary.org/works/OL498787W
Civil Disobedience,Henry David Thoreau,"Résistance au gouvernement, Resistance to Government, Désobéissance civile",4.1666665,6.0,"I heartily accept the motto, ""That government is best which governs least""; and I should like to see it acted up to more rapidly and systematically.",32,9798793769068,eng,1800,https://covers.openlibrary.org/b/id/12679584-L.jpg,https://openlibrary.org/works/OL55631W
My Family and other Animals,Gerald Malcolm Durrell,"Natural history, Description and travel, Zoologists",4.6363635,11.0,July had been blown out like a candle by a biting wind that ushered in a leaden August sky.,284,5227015481,pol,1956,https://covers.openlibrary.org/b/id/5547600-L.jpg,https://openlibrary.org/works/OL10509141W
Soul on ice,Eldridge Cleaver,"African Americans, Psychology, Black Panther Party",1.0,1.0,"Nineteen fifty-four, when I was eighteen years old, is held to be a crucial turning point in the history of the Afro-American- for the U.S.A. as a whole-the year segregation was outlawed by the U.S. Supreme Court.",210,9780440381631,und,1863,https://covers.openlibrary.org/b/id/239819-L.jpg,https://openlibrary.org/works/OL5849413W
Elizabeth and Her German Garden,Elizabeth von Arnim,"Fiction, Germany in fiction, Gardening",4.75,4.0,-I love my garden.,138,9781548511883,eng,1898,https://covers.openlibrary.org/b/id/652095-L.jpg,https://openlibrary.org/works/OL1972840W
Life of George Washington,Washington Irving,"Politics and government, Campaigns, Generals",4.0,2.0,No description available,636,0736630155,ger,1850,https://covers.openlibrary.org/b/id/8243153-L.jpg,https://openlibrary.org/works/OL63991W
Wüstenblume,Waris Dirie,"Beschneidung, Ma dchen, Autobiographie",4.111111,9.0,"A slight sound woke me, and when I opened my eyes, I was staring into the face of a lion.",256,9783795116071,ita,1998,https://covers.openlibrary.org/b/id/10277830-L.jpg,https://openlibrary.org/works/OL1872814W
Seven Pillars of Wisdom,T. E. Lawrence,"Arabs, Bedouins, Campaigns",5.0,1.0,Some of the evil of my tale may have been inherent in our circumstances.,700,9798619423112,srp,1905,https://covers.openlibrary.org/b/id/1448352-L.jpg,https://openlibrary.org/works/OL830503W
Confessions of an economic hit man,"Perkins, John","Economistas, Intelligence officers, Imperialismo",3.4,15.0,It began innocently enough.,295,9789756006030,eng,2004,https://covers.openlibrary.org/b/id/13977093-L.jpg,https://openlibrary.org/works/OL2693772W
Just Kids,Patti Smith,"Women poets, Chelsea Hotel, Women rock musicians",4.142857,28.0,I was asleep when he died.,320,1526694492,ger,2006,https://covers.openlibrary.org/b/id/6671097-L.jpg,https://openlibrary.org/works/OL15474046W
Reach for the Sky,Paul Brickhill,"World war, 1939-1945, aerial operations, british, Bader, douglas, 1910-1982, Fighter pilots",3.5,4.0,"WHEN DOUGLAS BADER was nineteen, his flying instructor said, ""That young man will either be famous or be killed.""",372,0899669107,eng,1954,https://covers.openlibrary.org/b/id/2356626-L.jpg,https://openlibrary.org/works/OL3241394W
For One More Day,Mitch Albom,"Future life, Fiction, Suicidal behavior",4.25,8.0,No description available,214,1401309577,eng,2006,https://covers.openlibrary.org/b/id/6501473-L.jpg,https://openlibrary.org/works/OL1822318W
Dictionary of National Biography,George Murray Smith,"Biography, Bio-bibliography, Dictionaries",,,No description available,472,1406762903,eng,1885,https://covers.openlibrary.org/b/id/1276873-L.jpg,https://openlibrary.org/works/OL8305641W
Into the Wild,Jon Krakauer,"Adventure and adventurers, Travelers, Journeys",3.871795,78.0,"Jim Gallien had driven four miles out of Fairbanks when he spotted the hitchhiker standing in the snow beside the road, thumb raised high, shivering in the gray Alaska dawn.",284,9789044615623,eng,1996,https://covers.openlibrary.org/b/id/1377482-L.jpg,https://openlibrary.org/works/OL1974546W
Captivity and Restoration,Mary White Rowlandson,"Massachusetts, biography, Lancaster (mass.), Massachusetts, history, colonial period, ca. 1600-1775",2.6666667,3.0,"The sovereignty and goodness of GOD, together with the faithfulness of his promises displayed, being a narrative of the captivity and restoration of Mrs. Mary Rowlandson, commended by her, to all that desires to know the Lord's doings to, and dealings with her.",52,9781504034661,eng,1682,https://covers.openlibrary.org/b/id/1813688-L.jpg,https://openlibrary.org/works/OL239849W
Acres of diamonds,Russell Herman Conwell,"Success, Religious aspects of Success, Baptists",,,"WHEN GOING DOWN the Tigris and Euphrates rivers many years ago with a party of English travelers I found myself under the direction of an old Arab guide whom we hired up at Bagdad, and I have often thought how that guide resembled our barbers in certain mental characteristics.",84,9781532922749,eng,1901,https://covers.openlibrary.org/b/id/5833160-L.jpg,https://openlibrary.org/works/OL3920712W
Aventures de Télémaque,François de Salignac de La Mothe-Fénelon,"Fiction, Telemachus (Greek mythology), Princes",3.4285715,14.0,No description available,420,066594330X,eng,1699,https://covers.openlibrary.org/b/id/8242949-L.jpg,https://openlibrary.org/works/OL781469W
The Poetical Works of John Dryden,John Dryden,"Criticism and interpretation, English poetry, Drama",5.0,1.0,As there is music uninform'd by art,524,0192840770,eng,1777,https://covers.openlibrary.org/b/id/1817022-L.jpg,https://openlibrary.org/works/OL284349W
Confessions of an advertising man,David Ogilvy,"Advertising, Advertising agencies, Advertising executives",5.0,3.0,No description available,173,9781447665106,eng,1963,https://covers.openlibrary.org/b/id/6987979-L.jpg,https://openlibrary.org/works/OL3346507W
Far away and long ago,W. H. Hudson,"Biography, Description and travel, Childhood and youth",3.6,5.0,IT was never my intention to write an autobiography.,332,9780712610384,eng,1918,https://covers.openlibrary.org/b/id/782468-L.jpg,https://openlibrary.org/works/OL879152W
All Creatures Great and Small (All Creatures Great and Small #1-2),James Herriot,"Open Library Staff Picks, Veterinarians, Biography",4.3,10.0,"They didn't say anything about this in the books, I thought, as the snow blew in through the gaping doorway and settled on my naked back.",445,9780553138597,spa,1972,https://covers.openlibrary.org/b/id/6382107-L.jpg,https://openlibrary.org/works/OL42308W
Apologia pro vita sua,John Henry Newman,"200, 200 Catholic Church, Anglican Communion",5.0,2.0,It may easily be conceived how great a trial it is to me to write the following history of myself; but I must not shrink from the task.,395,0486442136,eng,1860,https://covers.openlibrary.org/b/id/8242161-L.jpg,https://openlibrary.org/works/OL1144827W
The color of water,James McBride,"Mulattoes, Race identity, Mothers",4.2727275,11.0,I'm dead.,314,9780792798934,eng,1995,https://covers.openlibrary.org/b/id/535071-L.jpg,https://openlibrary.org/works/OL2956952W
South: the story of Shackleton's 1914-1917 expedition,Sir Ernest Henry Shackleton,"British, Discovery and exploration, Imperial Trans-Antarctic Expedition (1914-1917)",4.0,2.0,"I HAD decided to leave South Georgia about December 5, and in the intervals of final preparation scanned again the plans for the voyage to winter quarters.",375,1841190349,fre,1919,https://covers.openlibrary.org/b/id/6418091-L.jpg,https://openlibrary.org/works/OL1931005W
The Autobiography of Alice B. Toklas,Gertrude Stein,"Intellectual life, Biography, Friends and associates",3.0,4.0,No description available,268,0606314083,ita,1933,https://covers.openlibrary.org/b/id/419879-L.jpg,https://openlibrary.org/works/OL37277W
A million little pieces,James Frey,"Drug addicts, Toxicomanes, Biographies",3.8461537,13.0,No description available,430,9781665180474,eng,2003,https://covers.openlibrary.org/b/id/242446-L.jpg,https://openlibrary.org/works/OL5858014W
The Glass Castle,Jeannette Walls,"Poor, Problem families, Dysfunctional families",4.387755,49.0,"I WAS SITTING IN a taxi, wondering if I had overdressed for the evening, when I looked out the window and saw Mom rooting through a Dumpster.",347,9781417777891,eng,2005,https://covers.openlibrary.org/b/id/11517692-L.jpg,https://openlibrary.org/works/OL46760W
Welcome to Camp Nightmare,Robert Lawrence Stine,"Horror tales, Juvenile fiction, Camps",4.285714,7.0,"I started out the dusty window as the camp bus bounced over the narrow, winding road.",140,0606324852,chi,1993,https://covers.openlibrary.org/b/id/11290286-L.jpg,https://openlibrary.org/works/OL72351W
How to Get Rich,Donald Trump,"Biography & Autobiography, Business, Nonfiction",4.5,8.0,I am the chairman and president of The Trump Organization.,272,9781419316999,eng,1987,https://covers.openlibrary.org/b/id/1284507-L.jpg,https://openlibrary.org/works/OL2720606W
Wir Kinder vom Bahnhof Zoo,Christiane Felscherinow,"Youth, Case studies, Prostitution",4.0,8.0,No description available,297,0553208977,ita,1978,https://covers.openlibrary.org/b/id/1009232-L.jpg,https://openlibrary.org/works/OL8368141W
A Long Way Gone,Ishmael Beah,"United Nations, Africa, biography, Africa, history",4.138889,36.0,No description available,240,9780007247097,eng,2007,https://covers.openlibrary.org/b/id/11592698-L.jpg,https://openlibrary.org/works/OL8034119W
The works of Robert Burns,Robert Burns,"Biography, Correspondence, Poetry",,,No description available,425,9780665288432,eng,1800,https://covers.openlibrary.org/b/id/5792560-L.jpg,https://openlibrary.org/works/OL766042W
Paul et Virginie,Bernardin de Saint-Pierre,"Botany, Fiction, Mauritius in fiction",3.4,5.0,No description available,184,1854770098,eng,1789,https://covers.openlibrary.org/b/id/8243325-L.jpg,https://openlibrary.org/works/OL1077449W
The Stranger Beside Me,Ann Rule,"Criminals, Biography, Serial murderers",4.2,5.0,"NO ONE GLANCED at the young man who walked out of the Trailways Bus Station in Tallahassee, Florida, at dawn on Sunday, January 8, 1978.",498,0739413163,por,1980,https://covers.openlibrary.org/b/id/292770-L.jpg,https://openlibrary.org/works/OL892102W
Me Talk Pretty One Day,David Sedaris,"David Sedaris, teens, teenagers",3.8909092,55.0,ANYONE WHO WATCHES EVEN THE SLIGHTEST amount of TV is familiar with the scene: An agent knocks on the door of some seemingly ordinary home or office.,272,9780316776967,fre,2000,https://covers.openlibrary.org/b/id/8567510-L.jpg,https://openlibrary.org/works/OL2693077W
Unbroken,Laura Hillenbrand,"New York Times bestseller, nyt:hardcover_political_books=2012-02-25, Prisoners of war",4.189189,37.0,No description available,500,0606355987,chi,2010,https://covers.openlibrary.org/b/id/6668103-L.jpg,https://openlibrary.org/works/OL15455841W
Adolphe,Benjamin Constant,"Fiction, Social life and customs, Theater",5.0,1.0,No description available,180,9780141960340,ita,1816,https://covers.openlibrary.org/b/id/2154092-L.jpg,https://openlibrary.org/works/OL55151W
Kitchen Confidential,Anthony Bourdain,"Cooks, Cocineros, History",4.0576925,52.0,DON'T GET ME WRONG: I love the restaurant business.,320,0747590117,swe,2000,https://covers.openlibrary.org/b/id/843879-L.jpg,https://openlibrary.org/works/OL3348011W
Born to Run,Christopher McDougall,"Tarahumara Indians, runners, sports",4.48,25.0,No description available,287,9784140814147,heb,2009,https://covers.openlibrary.org/b/id/8473368-L.jpg,https://openlibrary.org/works/OL13805586W
I sommersi e i salvati,Primo Levi,"Holocaust, Jewish (1939-1945), Influence, Personal narratives",4.5,2.0,Las primeras noticias sobre los campos nazis de exterminio empezaron a difundirse en el año crucial de 1942.,200,9780718130633,ita,1986,https://covers.openlibrary.org/b/id/10233749-L.jpg,https://openlibrary.org/works/OL860027W
Shoe Dog,Phil Knight,"Businesspeople, juvenile literature, Business, juvenile literature, Business, biography",4.5531917,47.0,"I was up before the others, before the birds, before the sun.",386,4492046178,eng,2014,https://covers.openlibrary.org/b/id/8858487-L.jpg,https://openlibrary.org/works/OL17825802W
Pimp,Iceberg Slim,"Pimps, Biography, African Americans",4.6,20.0,No description available,317,9788494444562,eng,1967,https://covers.openlibrary.org/b/id/13539771-L.jpg,https://openlibrary.org/works/OL1853064W
Hillbilly Elegy,J. D. Vance,"Mountain people, Family, Social mobility",3.707317,41.0,No description available,272,9788365973047,chi,2016,https://covers.openlibrary.org/b/id/14846900-L.jpg,https://openlibrary.org/works/OL17357665W
Alan Turing,Andrew Hodges,"Mathematicians, Biography, Biographies",4.0833335,12.0,No description available,592,1448137810,fre,1983,https://covers.openlibrary.org/b/id/6381830-L.jpg,https://openlibrary.org/works/OL61215W
Assata,Assata Shakur,"Black Panther Party, Open Library Staff Picks, Black nationalism",4.2777777,18.0,Había luces y sirenas.,384,9783926529442,eng,1987,https://covers.openlibrary.org/b/id/8598296-L.jpg,https://openlibrary.org/works/OL4975846W
Not Without My Daughter,Betty Mahmoody,"Political prisoners, Americans, Vrouwen",4.4444447,9.0,"My daughter dozed in her seat next to the window of a British Airways jetliner, her red-brown curls encircling her face, tumbling haphazardly below her shoulders.",423,9781417728053,eng,1987,https://covers.openlibrary.org/b/id/8404282-L.jpg,https://openlibrary.org/works/OL4064350W
The Maine Woods,Henry David Thoreau,"Description and travel, Travel, American Authors",3.5,2.0,"On the 31st of August, 1846, I left Concord in Massachusetts for Bangor and the backwoods of Maine, by way of the railroad and steamboat, intending to accompany a relative of mine engaged in the lumber-trade in Bangor, as far as a dam on the west branch of the Penobscot, in which property he was interested.",340,9781414505381,eng,1803,https://covers.openlibrary.org/b/id/10873097-L.jpg,https://openlibrary.org/works/OL55721W
The Dharma Bums,Jack Kerouac,"American fiction (fictional works by one author), Beat generation, Fiction",4.5,4.0,Hopping a freight out of Los Angeles at high noon one day in late September 1955 I got on a gondola and lay down with my duffel bag under my head and my knees crossed and contemplated the clouds as we rolled north to Santa Barbara.,224,0848813995,eng,1950,https://covers.openlibrary.org/b/id/9253514-L.jpg,https://openlibrary.org/works/OL65897W
This is going to hurt,Adam Kay,"Physician and patient, Residents (Medicine), Diaries",4.6666665,3.0,No description available,276,9781509870738,ukr,2017,https://covers.openlibrary.org/b/id/9355118-L.jpg,https://openlibrary.org/works/OL19752167W
"Year of Magical Thinking, The",Joan Didion,"Dunne, john gregory, 1932-2003, Grief, Journalists, biography",4.1666665,6.0,Life changes fast.,227,9781665168670,chi,2005,https://covers.openlibrary.org/b/id/13693-L.jpg,https://openlibrary.org/works/OL500171W
